pa, pp, ta, tp
a doctor follows a doctor .,a doctor is followed by a doctor .,the physician led the physician .,the physician was led by the physician .
a physician follows a physician .,a physician is followed by a physician .,the doctor led the doctor .,the doctor was led by the doctor .
the doctor helped the doctor .,the doctor was helped by the doctor .,a physician asks a physician .,a physician is asked by a physician .
the physician helps the physician .,the physician is helped by the physician .,a doctor asked a doctor .,a doctor was asked by a doctor .
the doctor helps the singer .,the singer is helped by the doctor .,a physician asked a band .,a band was asked by a physician .
the doctor helped the colonel .,the colonel was helped by the doctor .,a physician asks an army .,an army is asked by a physician .
the physician helped the singer .,the singer was helped by the physician .,a doctor asks a band .,a band is asked by a doctor .
the physician helped the colonel .,the colonel was helped by the physician .,a doctor asks an army .,an army is asked by a doctor .
the doctor catches the doctor .,the doctor is caught by the doctor .,a physician chased a physician .,a physician was chased by a physician .
a physician catches a physician .,a physician is caught by a physician .,the doctor chased the doctor .,the doctor was chased by the doctor .
the doctor forgot the doctor .,the doctor was forgotten by the doctor .,a physician forgives a physician .,a physician is forgiven by a physician .
the physician forgets the physician .,the physician is forgotten by the physician .,a doctor forgave a doctor .,a doctor was forgiven by a doctor .
the doctor understands the doctor .,the doctor is understood by the doctor .,a physician forgave a physician .,a physician was forgiven by a physician .
the physician understood the physician .,the physician was understood by the physician .,a doctor forgives a doctor .,a doctor is forgiven by a doctor .
the doctor beat the doctor .,the doctor was beaten by the doctor .,a physician hurts a physician .,a physician is hurt by a physician .
a physician beat a physician .,a physician was beaten by a physician .,the doctor hurts the doctor .,the doctor is hurt by the doctor .
the doctor kills the doctor .,the doctor is killed by the doctor .,a physician hurt a physician .,a physician was hurt by a physician .
the physician kills the physician .,the physician is killed by the physician .,a doctor hurt a doctor .,a doctor was hurt by a doctor .
a doctor forgave a doctor .,a doctor was forgiven by a doctor .,the physician accepts the physician .,the physician is accepted by the physician .
the physician forgives the physician .,the physician is forgiven by the physician .,a doctor accepted a doctor .,a doctor was accepted by a doctor .
a doctor understood a doctor .,a doctor was understood by a doctor .,the physician accepts the physician .,the physician is accepted by the physician .
the physician understood the physician .,the physician was understood by the physician .,a doctor accepts a doctor .,a doctor is accepted by a doctor .
a doctor destroyed a doctor .,a doctor was destroyed by a doctor .,the physician breaks the physician .,the physician is broken by the physician .
a physician destroyed a physician .,a physician was destroyed by a physician .,the doctor breaks the doctor .,the doctor is broken by the doctor .
the doctor joins the doctor .,the doctor is joined by the doctor .,a physician left a physician .,a physician was left by a physician .
a physician joins a physician .,a physician is joined by a physician .,the doctor left the doctor .,the doctor was left by the doctor .
a doctor forgets a doctor .,a doctor is forgotten by a doctor .,the physician left the physician .,the physician was left by the physician .
the physician forgets the physician .,the physician is forgotten by the physician .,a doctor left a doctor .,a doctor was left by a doctor .
a doctor helps a doctor .,a doctor is helped by a doctor .,the physician used the physician .,the physician was used by the physician .
a physician helped a physician .,a physician was helped by a physician .,the doctor uses the doctor .,the doctor is used by the doctor .
the doctor helps the singer .,the singer is helped by the doctor .,a physician used a band .,a band was used by a physician .
a doctor helped a colonel .,a colonel was helped by a doctor .,the physician uses the army .,the army is used by the physician .
the physician helps the singer .,the singer is helped by the physician .,a doctor used a band .,a band was used by a doctor .
the physician helps the colonel .,the colonel is helped by the physician .,a doctor used an army .,an army was used by a doctor .
the singer helps the doctor .,the doctor is helped by the singer .,a band used a physician .,a physician was used by a band .
a singer helps a physician .,a physician is helped by a singer .,the band used the doctor .,the doctor was used by the band .
the colonel helps the doctor .,the doctor is helped by the colonel .,an army used a physician .,a physician was used by an army .
a colonel helps a physician .,a physician is helped by a colonel .,the army used the doctor .,the doctor was used by the army .
a singer helps a singer .,a singer is helped by a singer .,the band used the band .,the band was used by the band .
the singer helped the colonel .,the colonel was helped by the singer .,a band uses an army .,an army is used by a band .
the colonel helped the singer .,the singer was helped by the colonel .,an army uses a band .,a band is used by an army .
the colonel helps the colonel .,the colonel is helped by the colonel .,an army used an army .,an army was used by an army .
the company helped the doctor .,the doctor was helped by the company .,a corporation uses a physician .,a physician is used by a corporation .
the company helped the physician .,the physician was helped by the company .,a corporation uses a doctor .,a doctor is used by a corporation .
a corporation helped a doctor .,a doctor was helped by a corporation .,the company uses the physician .,the physician is used by the company .
a corporation helped a physician .,a physician was helped by a corporation .,the company uses the doctor .,the doctor is used by the company .
the company helped the singer .,the singer was helped by the company .,a corporation uses a band .,a band is used by a corporation .
a company helps a colonel .,a colonel is helped by a company .,the corporation used the army .,the army was used by the corporation .
a corporation helped a singer .,a singer was helped by a corporation .,the company uses the band .,the band is used by the company .
the corporation helped the colonel .,the colonel was helped by the corporation .,a company uses an army .,an army is used by a company .
the doctor protected the doctor .,the doctor was protected by the doctor .,a physician keeps a physician .,a physician is kept by a physician .
the physician protected the physician .,the physician was protected by the physician .,a doctor keeps a doctor .,a doctor is kept by a doctor .
the doctor protects the singer .,the singer is protected by the doctor .,a physician kept a band .,a band was kept by a physician .
a doctor protected a colonel .,a colonel was protected by a doctor .,the physician keeps the army .,the army is kept by the physician .
the physician protects the singer .,the singer is protected by the physician .,a doctor kept a band .,a band was kept by a doctor .
the physician protected the colonel .,the colonel was protected by the physician .,a doctor keeps an army .,an army is kept by a doctor .
a singer protected a doctor .,a doctor was protected by a singer .,the band keeps the physician .,the physician is kept by the band .
a singer protected a physician .,a physician was protected by a singer .,the band keeps the doctor .,the doctor is kept by the band .
a colonel protects a doctor .,a doctor is protected by a colonel .,the army kept the physician .,the physician was kept by the army .
a colonel protected a physician .,a physician was protected by a colonel .,the army keeps the doctor .,the doctor is kept by the army .
the singer protects the singer .,the singer is protected by the singer .,a band kept a band .,a band was kept by a band .
the singer protected the colonel .,the colonel was protected by the singer .,a band keeps an army .,an army is kept by a band .
a colonel protects a singer .,a singer is protected by a colonel .,the army kept the band .,the band was kept by the army .
the colonel protected the colonel .,the colonel was protected by the colonel .,an army keeps an army .,an army is kept by an army .
the company protects the doctor .,the doctor is protected by the company .,a corporation kept a physician .,a physician was kept by a corporation .
the company protected the physician .,the physician was protected by the company .,a corporation keeps a doctor .,a doctor is kept by a corporation .
a corporation protected a doctor .,a doctor was protected by a corporation .,the company keeps the physician .,the physician is kept by the company .
the corporation protected the physician .,the physician was protected by the corporation .,a company keeps a doctor .,a doctor is kept by a company .
the company protected the singer .,the singer was protected by the company .,a corporation keeps a band .,a band is kept by a corporation .
the company protects the colonel .,the colonel is protected by the company .,a corporation kept an army .,an army was kept by a corporation .
the corporation protected the singer .,the singer was protected by the corporation .,a company keeps a band .,a band is kept by a company .
a corporation protected a colonel .,a colonel was protected by a corporation .,the company keeps the army .,the army is kept by the company .
a doctor asked a doctor .,a doctor was asked by a doctor .,the physician wants the physician .,the physician is wanted by the physician .
the physician asked the physician .,the physician was asked by the physician .,a doctor wants a doctor .,a doctor is wanted by a doctor .
the singer asked the doctor .,the doctor was asked by the singer .,a band wants a physician .,a physician is wanted by a band .
the singer asks the physician .,the physician is asked by the singer .,a band wanted a doctor .,a doctor was wanted by a band .
the colonel asks the doctor .,the doctor is asked by the colonel .,an army wanted a physician .,a physician was wanted by an army .
the colonel asks the physician .,the physician is asked by the colonel .,an army wanted a doctor .,a doctor was wanted by an army .
the doctor chased the doctor .,the doctor was chased by the doctor .,a physician catches a physician .,a physician is caught by a physician .
a physician chases a physician .,a physician is chased by a physician .,the doctor caught the doctor .,the doctor was caught by the doctor .
the doctor grabs the doctor .,the doctor is grabbed by the doctor .,a physician caught a physician .,a physician was caught by a physician .
the physician grabs the physician .,the physician is grabbed by the physician .,a doctor caught a doctor .,a doctor was caught by a doctor .
the doctor kills the doctor .,the doctor is killed by the doctor .,a physician destroyed a physician .,a physician was destroyed by a physician .
a physician kills a physician .,a physician is killed by a physician .,the doctor destroyed the doctor .,the doctor was destroyed by the doctor .
the doctor forgives the doctor .,the doctor is forgiven by the doctor .,a physician forgot a physician .,a physician was forgotten by a physician .
a physician forgives a physician .,a physician is forgiven by a physician .,the doctor forgot the doctor .,the doctor was forgotten by the doctor .
a doctor catches a doctor .,a doctor is caught by a doctor .,the physician grabbed the physician .,the physician was grabbed by the physician .
a physician caught a physician .,a physician was caught by a physician .,the doctor grabs the doctor .,the doctor is grabbed by the doctor .
the doctor hurts the doctor .,the doctor is hurt by the doctor .,a physician beat a physician .,a physician was beaten by a physician .
a physician hurt a physician .,a physician was hurt by a physician .,the doctor beats the doctor .,the doctor is beaten by the doctor .
a doctor helped a doctor .,a doctor was helped by a doctor .,the physician comforts the physician .,the physician is comforted by the physician .
the physician helped the physician .,the physician was helped by the physician .,a doctor comforts a doctor .,a doctor is comforted by a doctor .
the doctor helped the singer .,the singer was helped by the doctor .,a physician comforts a band .,a band is comforted by a physician .
a doctor helps a colonel .,a colonel is helped by a doctor .,the physician comforted the army .,the army was comforted by the physician .
the physician helps the singer .,the singer is helped by the physician .,a doctor comforted a band .,a band was comforted by a doctor .
the physician helps the colonel .,the colonel is helped by the physician .,a doctor comforted an army .,an army was comforted by a doctor .
the doctor asked the doctor .,the doctor was asked by the doctor .,a physician helps a physician .,a physician is helped by a physician .
a physician asks a physician .,a physician is asked by a physician .,the doctor helped the doctor .,the doctor was helped by the doctor .
the singer asks the doctor .,the doctor is asked by the singer .,a band helped a physician .,a physician was helped by a band .
a singer asks a physician .,a physician is asked by a singer .,the band helped the doctor .,the doctor was helped by the band .
the colonel asked the doctor .,the doctor was asked by the colonel .,an army helps a physician .,a physician is helped by an army .
a colonel asked a physician .,a physician was asked by a colonel .,the army helps the doctor .,the doctor is helped by the army .
a doctor comforts a doctor .,a doctor is comforted by a doctor .,the physician helped the physician .,the physician was helped by the physician .
the physician comforts the physician .,the physician is comforted by the physician .,a doctor helped a doctor .,a doctor was helped by a doctor .
the singer comforted the doctor .,the doctor was comforted by the singer .,a band helps a physician .,a physician is helped by a band .
a singer comforted a physician .,a physician was comforted by a singer .,the band helps the doctor .,the doctor is helped by the band .
the colonel comforted the doctor .,the doctor was comforted by the colonel .,an army helps a physician .,a physician is helped by an army .
the colonel comforted the physician .,the physician was comforted by the colonel .,an army helps a doctor .,a doctor is helped by an army .
the doctor hurts the doctor .,the doctor is hurt by the doctor .,a physician killed a physician .,a physician was killed by a physician .
the physician hurt the physician .,the physician was hurt by the physician .,a doctor kills a doctor .,a doctor is killed by a doctor .
a doctor destroys a doctor .,a doctor is destroyed by a doctor .,the physician killed the physician .,the physician was killed by the physician .
the physician destroyed the physician .,the physician was destroyed by the physician .,a doctor kills a doctor .,a doctor is killed by a doctor .
the doctor forgives the doctor .,the doctor is forgiven by the doctor .,a physician understood a physician .,a physician was understood by a physician .
the physician forgives the physician .,the physician is forgiven by the physician .,a doctor understood a doctor .,a doctor was understood by a doctor .